liwc_posemo,liwc_negemo,liwc_anxiety,liwc_anger,liwc_sadness,liwc_cogproc,liwc_tentativeness,liwc_self_focus,liwc_social,liwc_work,liwc_time_pressure,liwc_somatic,liwc_coping
0.63,2.51,0.94,0.63,0.31,12.23,1.57,8.78,4.7,3.13,6.27,0.0,0.23499999999999993
0.57,2.86,1.14,0.0,0.57,13.71,0.57,8.57,1.14,3.43,6.86,1.43,1.285
1.32,2.2,1.76,0.0,0.0,12.33,3.08,4.41,3.08,3.08,17.18,0.44,0.55
6.2,2.33,1.55,0.78,0.0,9.3,0.0,13.18,2.33,0.0,10.08,0.39,0.3875
5.38,2.15,1.61,0.0,0.0,11.29,2.15,6.99,0.54,1.61,11.29,0.54,0.5375
1.3,2.61,2.17,0.0,0.0,17.39,1.74,6.52,7.39,2.61,6.09,0.0,0.9774999999999998
0.6,2.4,2.4,0.0,0.0,17.37,2.99,7.19,0.6,3.59,12.57,0.3,1.0475
1.77,2.83,1.77,0.0,0.35,13.78,3.18,9.19,3.89,3.18,6.36,0.885,0.4425
2.53,2.53,0.63,0.0,0.0,12.03,3.16,7.59,2.22,2.22,15.51,1.27,0.87
2.06,1.03,0.34,0.0,0.0,15.81,6.19,7.9,3.44,4.81,12.71,0.345,0.9425
1.64,1.64,1.64,0.0,0.0,14.75,3.28,6.56,0.0,1.64,13.11,0.0,0.41
2.35,0.88,0.29,0.29,0.29,14.71,4.12,7.94,2.94,0.88,17.94,0.0,0.735
2.0,3.6,0.8,1.6,0.0,12.4,3.6,7.2,2.8,2.0,16.0,0.4,0.09999999999999998
3.03,1.82,1.21,0.0,0.0,9.7,3.64,9.09,1.21,1.82,12.73,0.61,0.91
0.0,1.43,0.0,0.0,0.0,12.86,3.33,4.76,4.29,4.29,11.43,1.43,1.19
2.22,1.58,0.63,0.32,0.0,13.61,4.11,7.91,5.06,2.22,11.71,0.315,0.315
1.51,1.89,0.38,0.38,0.0,13.96,1.89,6.04,3.02,3.77,13.21,0.565,0.9425000000000001
0.9,0.3,0.0,0.3,0.0,16.77,1.5,4.49,8.98,5.39,6.59,0.15,0.675
0.75,1.0,0.5,0.25,0.0,14.04,2.01,7.77,2.76,2.51,13.03,0.375,0.5025
2.46,0.55,0.55,0.0,0.0,13.39,3.01,5.19,7.1,3.55,8.2,0.0,1.5724999999999998
